URL,Size,OutLinks,ContentType
https://www.washingtonpost.com/opinions/the-cbo-reveals-republicans-health-care-cruelty/2017/03/13/7d1012fe-0834-11e7-93dc-00f9bdd74ed1_story.html?utm_term=.7ea607757205,157265,34,text/html
https://www.washingtonpost.com/news/sports/wp/2017/10/01/nfl-week-4-fox-plans-to-skip-anthems-as-players-mull-next-step-in-protest-trump-tweets-injuries-fantasy-news/?tid=a_inl-amp,222180,77,text/html
https://www.washingtonpost.com/sports/trump-thrusts-nfl-players-into-a-debate-they-didnt-ask-for/2017/09/30/bf0d0644-a573-11e7-b14f-f41773cd5a14_story.html?tid=a_inl-amp,176424,37,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/03/18/for-tim-allen-being-a-non-liberal-in-hollywood-is-like-being-in-1930s-germany/?utm_term=.7ae12d18e056,156929,39,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/05/16/no-abc-says-last-man-standing-was-not-canceled-because-of-tim-allens-politics/?utm_term=.a58333665bf6,160518,38,text/html
https://www.washingtonpost.com/graphics/entertainment/norm-macdonald/,101973,63,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/03/18/for-tim-allen-being-a-non-liberal-in-hollywood-is-like-being-in-1930s-germany/?utm_term=.f5facc72d08a,156929,39,text/html
https://www.washingtonpost.com/amphtml/news/arts-and-entertainment/wp/2017/09/27/tim-allen-thinks-conservative-politics-might-be-why-last-man-standing-got-canceled/,44602,46,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2014/11/17/last-man-standing-still-has-a-lot-to-say-about-obamacare/,155414,28,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/03/21/have-you-lost-your-mind-anne-frank-group-rips-tim-allen-for-likening-hollywood-to-1930s-germany/?utm_term=.32f4639ef863,158009,39,text/html
https://www.washingtonpost.com/national/osama-bin-laden-resisted-assault-but-was-unarmed-us-officials-say/2011/05/03/AFpKmdhF_story.html?utm_term=.a6443fd6589d,161665,36,text/html
https://www.washingtonpost.com/world/national-security/more-high-ranking-officers-being-charged-with-sex-crimes-against-subordinates/2016/03/19/3910352a-e616-11e5-a6f3-21ccdbc5f74e_story.html?utm_term=.56d7f85729dc,169848,32,text/html
https://www.washingtonpost.com/news/early-lead/wp/2016/10/26/new-book-details-allegations-of-bob-knights-physical-emotional-abuse-while-indianas-coach/?utm_term=.0133888b6f9d,160183,30,text/html
https://www.washingtonpost.com/investigations/fbi-investigated-complaints-that-bobby-knight-groped-women-at-us-spy-agency/2017/07/07/ee1fc318-618f-11e7-8adc-fea80e32bf47_story.html,115495,31,text/html
https://www.washingtonpost.com/amphtml/investigations/fbi-investigated-complaints-that-bobby-knight-groped-women-at-us-spy-agency/2017/07/07/ee1fc318-618f-11e7-8adc-fea80e32bf47_story.html,63103,42,text/html
https://www.washingtonpost.com/apps/g/page/national/bobby-knights-speech-to-the-national-geospatial-intelligence-agency/2227/,22306,40,text/html
https://www.washingtonpost.com/investigations/fbi-investigated-complaints-that-bobby-knight-groped-women-at-us-spy-agency/2017/07/07/ee1fc318-618f-11e7-8adc-fea80e32bf47_story.html?tid=a_inl-amp,115495,32,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/08/02/kevin-can-wait-isnt-the-first-sitcom-to-have-a-character-death-heres-how-8-other-shows-handled-it/?utm_term=.e45f7699059b,161358,43,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2016/10/10/oh-hello-funny-you-should-mention-john-mulaney-and-nick-kroll-are-on-broadway/?utm_term=.b3c93ce750d6,155791,30,text/html
https://www.washingtonpost.com/entertainment/tv/foxs-mulaney-when-a-bad-sitcom-happens-to-a-great-guy/2014/10/02/e262f98c-47f7-11e4-b72e-d60a9229cc10_story.html?utm_term=.500a27a280c7,161198,32,text/html
https://www.washingtonpost.com/amphtml/entertainment/tv/netflixs-big-mouth-finds-a-smart-way-to-wrestle-with-the-monster-called-puberty/2017/09/28/df72e252-a3be-11e7-8cfe-d5b912fabc99_story.html,44054,38,text/html
https://www.washingtonpost.com/people/jenna-johnson/,74591,63,text/html
https://www.washingtonpost.com/news/post-politics/wp/2017/09/23/i-love-alabama-its-special-at-rally-for-sen-luther-strange-trump-vents-frustrations-in-rambling-speech/,211389,32,text/html
https://www.washingtonpost.com/politics/enforcer-or-choke-point-kelly-seeks-to-bring-order-to-chaotic-white-house/2017/09/22/79783610-9fad-11e7-9083-fbfddf6804c2_story.html,166679,28,text/html
https://www.washingtonpost.com/news/post-politics/wp/2017/09/22/sarah-palin-in-alabama-the-swamp-is-trying-to-hijack-this-presidency/,161000,28,text/html
https://www.washingtonpost.com/world/national-security/trump-kim-insults-are-the-latest-in-a-long--often-more-cutting--line-of-political-put-downs/2017/09/22/b584f81e-9fc1-11e7-9083-fbfddf6804c2_story.html,157957,29,text/html
https://www.washingtonpost.com/amphtml/news/post-politics/wp/2017/09/23/i-love-alabama-its-special-at-rally-for-sen-luther-strange-trump-vents-frustrations-in-rambling-speech/,88990,41,text/html
https://www.washingtonpost.com/politics/roy-moore-disrupts-alabama-senate-race--and-prepares-for-new-level-of-defiance-in-washington/2017/09/21/2a88a4a2-9e38-11e7-9083-fbfddf6804c2_story.html,173084,29,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/08/29/there-was-no-pretense-about-melania-trumps-heels-but-sometimes-a-little-pretense-helps/?utm_term=.d7c3c106978e,194979,32,text/html
https://www.washingtonpost.com/graphics/2017/sports/colin-kaepernick-national-anthem-protests-and-NFL-activism-in-quotes/?utm_term=.38f0953052ff,154166,188,text/html
https://www.washingtonpost.com/amphtml/news/comic-riffs/wp/2017/09/14/the-latest-in-the-destiny-series-is-more-inviting-than-ever/,47040,47,text/html
https://www.washingtonpost.com/news/comic-riffs/wp/2015/10/01/destiny-the-taken-king-mechanically-brilliant-shooter-and-nothing-more/?utm_term=.837e1d7d0797,159974,41,text/html
https://www.washingtonpost.com/pb/resources/img/flag-ve.svg,1234,0,image/svg+xml
https://www.washingtonpost.com/pb/resources/img/flag-us.svg,23520,0,image/svg+xml
https://www.washingtonpost.com/pb/resources/img/flag-br.svg,12583,0,image/svg+xml
https://www.washingtonpost.com/wp-apps/imrs.php?h=90&src=http%3A%2F%2Fwww.washingtonpost.com%2Fblogs%2Fstyle-blog%2Ffiles%2F2014%2F02%2Femilyyahr.jpeg&w=90,4007,0,image/jpeg
https://www.washingtonpost.com/amphtml/entertainment/tv/tv-highlights-gotham-returns-to-fox/2017/09/20/be07c0f4-9e20-11e7-8ea1-ed975285475e_story.html,41540,36,text/html
https://www.washingtonpost.com/news/the-fix/wp/2017/09/20/does-jimmy-kimmel-really-understand-the-gop-health-care-bill/?utm_term=.e8f373a91165,165666,44,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/19/jimmy-kimmel-gets-heated-about-health-care-bill-says-bill-cassidy-lied-right-to-my-face/?utm_term=.98dd88076a4c,166028,41,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/05/09/jimmy-kimmel-slams-critics-of-his-emotional-health-care-plea-calls-out-newt-gingrich/?utm_term=.bd5f05179e6d,160885,38,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/08/23/taylor-swift-sends-a-message-with-every-album-launch-reputation-is-no-different/?utm_term=.f40838f2cb02,160295,40,text/html
https://www.washingtonpost.com/amphtml/news/arts-and-entertainment/wp/2017/09/21/jimmy-kimmel-doubles-down-slams-sen-bill-cassidy-trump-and-fox-friends-over-health-care-bill/,53336,44,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/20/how-jimmy-kimmel-of-all-people-became-one-of-the-most-influential-voices-on-health-care/?utm_term=.50ef510be22f,160557,40,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/05/02/an-emotional-jimmy-kimmel-discusses-newborn-sons-heart-disease-makes-passionate-health-care-plea/?tid=a_inl&utm_term=.f3a21970bc24,162199,40,text/html
https://www.washingtonpost.com/amphtml/news/get-there/wp/2016/03/01/can-you-tell-which-of-these-turbotax-emails-is-real-and-which-one-is-from-a-scam-artist/,43767,43,text/html
https://www.washingtonpost.com/apps/g/page/business/can-you-tell-the-difference-between-these-two-tax-forms/1972/?template=iframe,25761,38,text/html
https://www.washingtonpost.com/news/get-there/wp/2015/11/19/taxpayers-may-notice-more-alerts-and-stricter-log-in-requirements-next-filing-season/,155136,29,text/html
https://www.washingtonpost.com/news/get-there/wp/2015/05/27/why-criminals-are-after-your-tax-returns-and-what-you-should-do-about-it/,156327,31,text/html
https://www.washingtonpost.com/business/get-there/fact-or-fishy-tax-day-is-coming-fast-test-your-knowledge-here/2016/02/23/54d5b260-da79-11e5-891a-4ed04f4213e8_story.html,156933,31,text/html
https://www.washingtonpost.com/news/get-there/wp/2016/02/26/irs-says-criminals-stole-data-from-more-taxpayers-than-initially-expected/,154080,28,text/html
https://www.washingtonpost.com/news/get-there/wp/2016/03/01/can-you-tell-which-of-these-turbotax-emails-is-real-and-which-one-is-from-a-scam-artist/,155866,33,text/html
https://www.washingtonpost.com/people/jonnelle-marte/,72583,59,text/html
https://www.washingtonpost.com/news/get-there/wp/2016/03/01/can-you-tell-which-of-these-turbotax-emails-is-real-and-which-one-is-from-a-scam-artist/?tid=a_inl-amp,155866,34,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/21/jimmy-kimmel-doubles-down-slams-sen-bill-cassidy-trump-and-fox-friends-over-health-care-bill/?utm_term=.afd85d41af33,165726,37,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/19/jimmy-kimmel-gets-heated-about-health-care-bill-says-bill-cassidy-lied-right-to-my-face/?utm_term=.201f5b2def13,166028,41,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/21/jimmy-kimmel-doubles-down-slams-sen-bill-cassidy-trump-and-fox-friends-over-health-care-bill/?utm_term=.a5f5f2522f67,165726,37,text/html
https://www.washingtonpost.com/powerpost/senate-gop-effort-to-unwind-the-affordable-care-act-faces-critical-test-tuesday/2017/09/26/097b2dc2-a25f-11e7-b14f-f41773cd5a14_story.html?hpid=hp_rhp-top-table-main_healthcare-825a%3Ahomepage%2Fstory&utm_term=.ea05a38fcbb8,167405,29,text/html
